,steps,episodes,loss,averageReturn
551,5903,5520,0.00039845556602813303,-4.0
552,5913,5530,0.0005331413121894002,0.0
553,5923,5540,2.460215546307154e-05,0.0
554,5933,5550,0.0011574904201552272,-6.0
555,5943,5560,2.9857998015359044e-05,-4.0
556,5953,5570,0.0008652532706037164,2.0
557,5963,5580,0.00011425004049669951,-2.0
558,5973,5590,-6.663088925051852e-07,-2.0
559,5983,5600,0.00016049006080720574,-4.0
560,5993,5610,0.0005050838808529079,-4.0
561,6003,5620,0.0011823046952486038,-4.0
562,6013,5630,0.0001165121648227796,0.0
563,6023,5640,0.0011664940975606441,-6.0
564,6033,5650,-0.0003711078315973282,-2.0
565,6043,5660,0.002185238990932703,-2.0
566,6053,5670,0.0011560795828700066,4.0
567,6063,5680,-0.0007622239063493907,-2.0
568,6073,5690,0.0015612848801538348,0.0
569,6083,5700,0.0006774806533940136,-4.0
570,6093,5710,0.0001310337393078953,-2.0
571,6103,5720,-9.246388799510896e-05,2.0
572,6113,5730,0.002582862274721265,0.0
573,6123,5740,0.0044689299538731575,-4.0
574,6133,5750,0.00021291282610036433,-4.0
575,6143,5760,0.0019431818509474397,-4.0
576,6153,5770,0.00026145632728002965,-4.0
577,6163,5780,-0.0013067707186564803,-4.0
578,6173,5790,0.0006156890303827822,4.0
579,6183,5800,0.0011176492553204298,-6.0
580,6193,5810,6.077263242332265e-05,-6.0
581,6203,5820,0.00711164902895689,2.0
582,6213,5830,0.002374571282416582,0.0
583,6223,5840,0.00037992853322066367,-6.0
584,6233,5850,0.0017780555645003915,0.0
585,6244,5860,1.1589044332504272,-5.0
586,6254,5870,0.0011800898937508464,-4.0
587,6264,5880,0.00522909639403224,0.0
588,6274,5890,-0.0004390146059449762,-6.0
589,6284,5900,-0.00011372296285117045,2.0
590,6294,5910,0.001072224578820169,0.0
591,6304,5920,0.0015101899625733495,2.0
592,6314,5930,0.000719826202839613,-4.0
593,6324,5940,-0.000717113958671689,-4.0
594,6334,5950,0.0005572995869442821,2.0
595,6344,5960,0.0009185952949337661,4.0
596,6354,5970,-0.00022447784431278706,-4.0
597,6364,5980,7.957955676829442e-05,-6.0
598,6374,5990,0.0001965432456927374,-2.0
599,6384,6000,0.002477038186043501,0.0
600,6394,6010,0.0024108721408993006,0.0
601,6404,6020,0.0016003366326913238,0.0
602,6414,6030,0.000597527832724154,0.0
603,6425,6040,0.7115498781204224,3.0
604,6435,6050,0.003735812846571207,-6.0
605,6445,6060,-0.0036070675123482943,-4.0
606,6455,6070,-0.000266180926701054,-4.0
607,6465,6080,-0.0001274899987038225,0.0
608,6475,6090,0.0011140787973999977,0.0
609,6485,6100,-0.00032450444996356964,2.0
610,6495,6110,0.0015673214802518487,-2.0
611,6505,6120,0.0016929840203374624,0.0
612,6516,6130,1.0144050121307373,-5.0
613,6526,6140,0.011561085470020771,-2.0
614,6536,6150,0.010632182471454144,2.0
615,6547,6160,0.5316401720046997,5.0
616,6559,6170,-0.21791286766529083,-2.0
617,6569,6180,-0.0012300231028348207,-2.0
618,6579,6190,0.004641904961317778,-6.0
619,6589,6200,0.030343949794769287,-2.0
620,6599,6210,-0.0033585201017558575,-2.0
621,6609,6220,0.016017967835068703,2.0
622,6619,6230,0.00883396901190281,-2.0
623,6630,6240,-0.020171524956822395,1.0
