,trial_name,epochs,learning_rate,dropout_val,l2_val,layer_size,training_loss,training_mae,training_mse,validation_loss,validation_mae,validation_mse,test_loss,test_mae,test_mse
96,Ep50_Lr005_Do4_L21e-05_Ls29,50,0.005,0.4,1e-05,29,0.013972826302051544,0.07741858810186386,0.013533971272408962,0.01286143995821476,0.07250939309597015,0.01242285966873169,0.012984140776097775,0.07291176170110703,0.012545564211905003
97,Ep50_Lr005_Do4_L21e-05_Ls58,50,0.005,0.4,1e-05,58,0.013871503993868828,0.07612235844135284,0.013251430355012417,0.012006192468106747,0.07118289917707443,0.011390271596610546,0.012161560356616974,0.07117851078510284,0.011545642279088497
98,Ep50_Lr005_Do4_L21e-05_Ls87,50,0.005,0.4,1e-05,87,0.013505136594176292,0.0746239423751831,0.012803425081074238,0.01062726229429245,0.06352230906486511,0.009919943287968636,0.010868079960346222,0.0639079362154007,0.010160760954022408
99,Ep50_Lr005_Do5_L2001_Ls29,50,0.005,0.5,0.001,29,0.021439461037516594,0.10114181786775589,0.02040521427989006,0.018517199903726578,0.09484943747520447,0.017512457445263863,0.018394537270069122,0.09432323276996613,0.017389783635735512
100,Ep50_Lr005_Do5_L2001_Ls58,50,0.005,0.5,0.001,58,0.020011380314826965,0.09411807358264923,0.018487848341464996,0.016286900267004967,0.07914330810308456,0.014792302623391151,0.016253063455224037,0.07913519442081451,0.014758463948965073
101,Ep50_Lr005_Do5_L2001_Ls87,50,0.005,0.5,0.001,87,0.019916292279958725,0.09432964771986008,0.01829313114285469,0.016321811825037003,0.08063766360282898,0.014764548279345036,0.016399815678596497,0.08070863038301468,0.014842557720839977
102,Ep50_Lr005_Do5_L20001_Ls29,50,0.005,0.5,0.0001,29,0.018335731700062752,0.09208488464355469,0.017533643171191216,0.015516708604991436,0.08170278370380402,0.014702028594911098,0.015690993517637253,0.08198674023151398,0.014876311644911766
103,Ep50_Lr005_Do5_L20001_Ls58,50,0.005,0.5,0.0001,58,0.01736709475517273,0.08657994121313095,0.01620233990252018,0.015579147264361382,0.07840734720230103,0.014412172138690948,0.015725027769804,0.07873136550188065,0.014558055438101292
104,Ep50_Lr005_Do5_L20001_Ls87,50,0.005,0.5,0.0001,87,0.017295291647315025,0.08594754338264465,0.015997521579265594,0.015878349542617798,0.07976322621107101,0.014602670446038246,0.015875602141022682,0.07984492182731628,0.014599918387830257
105,Ep50_Lr005_Do5_L21e-05_Ls29,50,0.005,0.5,1e-05,29,0.017210587859153748,0.08894237875938416,0.016861911863088608,0.015548937022686005,0.08130649477243423,0.015203084796667099,0.015586377121508121,0.08124128729104996,0.015240523964166641
106,Ep50_Lr005_Do5_L21e-05_Ls58,50,0.005,0.5,1e-05,58,0.01612723432481289,0.08456902205944061,0.015586182475090027,0.014723912812769413,0.07692895084619522,0.014187347143888474,0.014698202721774578,0.0769028291106224,0.01416163519024849
107,Ep50_Lr005_Do5_L21e-05_Ls87,50,0.005,0.5,1e-05,87,0.016296301037073135,0.08451983332633972,0.015614176169037819,0.014711810275912285,0.07939188927412033,0.014032449573278427,0.014748952351510525,0.07948773354291916,0.014069591648876667
108,Ep100_Lr05_Do2_L2001_Ls29,100,0.05,0.2,0.001,29,0.019383875653147697,0.09672128409147263,0.018976882100105286,0.014977950602769852,0.08539996296167374,0.014537197537720203,0.014913457445800304,0.08480503410100937,0.014472708106040955
109,Ep100_Lr05_Do2_L2001_Ls58,100,0.05,0.2,0.001,58,0.023923588916659355,0.11224517971277237,0.023923588916659355,0.02333889529109001,0.10867544263601303,0.02333889529109001,0.02326485514640808,0.1085805669426918,0.02326485514640808
